Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Cost Basis Per Share,Cost Basis Total
SPAXX**,FIDELITY GOVERNMENT MONEY MARKET,583.640,$1.00,$0.00,$583.64,n/a,n/a,n/a,n/a,n/a,n/a
CSCO,CISCO SYSTEMS INC,25.000,$57.67,$1.57,$1441.75,$39.25,2.80%,$201.74,16.27%,$49.60,$1240.01
AAPL,APPLE INC,20.000,$150.13,$1.17,$3002.66,$23.46,0.79%,$487.22,19.37%,$125.77,$2515.45
PFE,PFIZER INC,10.000,$45.53,$1.89,$455.25,$18.85,4.32%,-$43.30,-8.69%,$49.86,$498.55
F,FORD MTR CO DEL COM,100.000,$18.05,$0.10,$1805.00,$10.00,0.56%,$451.70,33.38%,$13.53,$1353.30
VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,6.000,$424.42,$1.37,$2546.52,$8.22,0.32%,$345.54,15.70%,$366.83,$2200.98
SBUX,STARBUCKS CORP COM USD0.001,5.000,$111.43,$1.63,$557.15,$8.15,1.48%,-$36.90,-6.21%,$118.81,$594.05
GM,GENERAL MTRS CO COM,10.000,$55.82,$0.33,$558.20,$3.30,0.59%,$22.10,4.12%,$53.61,$536.10
SPLG,SPDR PORTFOLIO S&P 500 ETF,10.000,$54.29,$0.17,$542.91,$1.71,0.32%,$25.03,4.83%,$51.79,$517.88
DFS,DISCOVER FINANCIAL SERVICES,4.000,$114.90,$0.24,$459.60,$0.96,0.21%,$19.74,4.49%,$109.97,$439.86
AGCO,AGCO CORP COM USD0.01,1.000,$124.65,$0.72,$124.65,$0.72,0.58%,$34.66,38.52%,$89.99,$89.99
RGR,STURM RUGER &CO INC COM,3.000,$79.12,$0.23,$237.34,$0.67,0.29%,-$4.97,-2.05%,$80.77,$242.31
SWBI,SMITH &WESSON BRANDS INC COM,3.000,$21.96,$0.12,$65.86,$0.34,0.53%,$12.31,23.00%,$17.85,$53.55
R,RYDER SYSTEM INC,2.000,$86.67,$0.16,$173.34,$0.32,0.18%,$17.96,11.56%,$77.69,$155.38
VWAGY,VOLKSWAGEN AG UNSPON ADS EACH REP 0.1 ORD SHS,5.000,$33.46,-$0.01,$167.30,-$0.05,-0.03%,$73.42,78.21%,$18.78,$93.88
PACX,PIONEER MERGER COR USD0.0001 A ISIN #KYG7S24C1034 SEDOL #BNQ,5.000,$9.96,-$0.02,$49.80,-$0.10,-0.19%,$0.40,0.82%,$9.88,$49.40
MRO,MARATHON OIL CORP COM,50.000,$16.93,-$0.10,$846.50,-$5.00,-0.59%,$19.25,2.33%,$16.55,$827.25
TMST,TIMKENSTEEL CORPORATION COM,25.000,$13.88,-$0.43,$347.00,-$10.75,-3.00%,-$1.47,-0.42%,$13.94,$348.47
